,Title,Ingredients,Servings,Difficulty,Calories,Fats/g,Protein/g,Carbs/g,Time,URL,Ingredients_parsed,Ingredients_final
318,Baked sole goujons,"['olive oil', '450 g lemon sole fillets , skinned, from sustainable sources', '50 g plain flour', '2 large free-range eggs', '1 tablespoons sweet smoked paprika', '2 large handfuls breadcrumbs']",4,Super easy,218.0,6.8,25.3,15.2,25 minutes,https://www.jamieoliver.com/recipes/fish-recipes/baked-sole-goujons/,olive oil lemon sole fillet from sustainable source plain flour large free range egg sweet smoked paprika large handful breadcrumb,lemon sole egg paprika breadcrumb
319,Stilton & pear gnocchi,"['1 clove of garlic', '1 large pear', 'a few sprigs of fresh flat-leaf parsley', '1 knob of unsalted butter', '2 tablespoons crème fraîche', '50 g stilton', '400 g gnocchi']",2,Super easy,370.0,21.9,9.7,31.5,25 minutes,https://www.jamieoliver.com/recipes/vegetables-recipes/stilton-pear-gnocchi/,clove garlic large pear a few sprig fresh flat leaf parsley knob unsalted butter creme fraiche stilton gnocchi,garlic pear butter stilton gnocchi
320,Stilton & sprouting broccoli frittata,"['200 g purple sprouting broccoli', 'extra virgin olive oil', '½ a bunch of fresh flat-leaf parsley', '6 large free-range eggs', '50 g Stilton or other blue cheese', 'Parmesan cheese', '1 knob of unsalted butter', 'SALAD', '25 g pine nuts', '1 lemon']",4,Super easy,317.0,26.7,17.6,1.8,40 minutes,https://www.jamieoliver.com/recipes/eggs-recipes/stilton-amp-sprouting-broccoli-frittata/,purple sprouting broccoli extra virgin olive oil a bunch fresh flat leaf parsley large free range egg stilton or other blue cheese parmesan cheese knob unsalted butter salad pine nut lemon,purple sprouting broccoli egg stilton other blue cheese parmesan cheese butter lemon
321,Healthy greens box,"['½ a small head of broccoli', '1 handful of baby spinach', '½ a small bunch of fresh mint', '80 g couscous', '1 lemon', '1 handful of mixed seeds', '1 good pinch of ground cumin', 'olive oil', '1 heaped teaspoon harissa', '50 g feta cheese']",2,Not too tricky,378.0,25.9,11.9,26.1,30 minutes,https://www.jamieoliver.com/recipes/vegetables-recipes/healthy-greens-box/,a small head broccoli handful baby spinach a small bunch fresh mint couscous lemon handful mixed seed good ground cumin olive oil harissa feta cheese,head broccoli spinach mint lemon cumin harissa feta cheese
322,Turkey kofte,"['TURKEY KOFTE', '1 large courgette', '2 spring onions', '1 fresh red chilli', '50 g shelled pistachios', '3 sprigs of fresh coriander', '3 sprigs of fresh flat-leaf parsley', '3 sprigs of fresh mint', '¼ teaspoon cumin seeds', '1 large free-range egg', '500 g free-range minced turkey', '½ teaspoon dried oregano', 'CHILLI SAUCE', '4 ripe tomatoes', '2 small onions', '4 cloves of garlic', '4 fresh red chillies', 'olive oil', '1 tablespoon brown sugar', '2 tablespoons tomato purée', '1 tablespoon red wine vinegar', 'TAHINI YOGHURT', '250 g Greek yoghurt', '1 tablespoon tahini', '1 squeeze of lemon juice', 'TURKISH PILAV', '1 onion', '2 cloves of garlic', '200 g bulgur wheat', '400 ml hot organic chicken stock', '1 knob of unsalted butter', '80 g broken rice vermicelli', '100 g tinned chickpeas (drained weight)']",4,Showing off,544.0,14.6,50.4,54.0,1 hour 50 minutes plus chilling,https://www.jamieoliver.com/recipes/turkey-recipes/turkey-kofte/,turkey kofte large courgette spring onion fresh red chilli shelled pistachio sprig fresh coriander sprig fresh flat leaf parsley sprig fresh mint cumin seed large free range egg free range minced turkey dried oregano chilli sauce ripe tomato small onion clove garlic fresh red chilli olive oil brown sugar tomato puree red wine vinegar tahini yoghurt greek yoghurt tahini squeeze lemon juice turkish pilav onion clove garlic bulgur wheat hot organic chicken stock knob unsalted butter broken rice vermicelli tinned chickpea,kofte courgette onion pistachio coriander mint cumin egg oregano tomato onion garlic tomato wine tahini yoghurt greek yoghurt tahini squeeze lemon turkish pilav onion garlic bulgur wheat chicken butter broken rice vermicelli chickpea
323,The Hix turkey burger,"['450 g coarsely minced free-range turkey thighs (ask your butcher to do this)', '100 g Cumberland sausage meat', '5-10 Brussels sprouts', '2-3 tablespoons free-range mayonnaise', 'vegetable oil', '4 hamburger buns', 'CRANBERRY SAUCE', '500 g fresh or frozen cranberries', '400 ml fresh orange juice', '250 g sugar', '½ teaspoon ground cinnamon', '½ teaspoon ground cloves', '1 fresh bay leaf']",4,Not too tricky,458.0,14.1,31.6,51.9,1 hour,https://www.jamieoliver.com/recipes/turkey-recipes/the-hix-turkey-burger/,coarsely minced free range turkey thigh your butcher to do cumberland sausage meat brussels sprout free range mayonnaise vegetable oil hamburger bun cranberry sauce fresh or frozen cranberry fresh orange juice sugar ground cinnamon ground clove fresh bay leaf,coarsely butcher do cumberland sausage meat brussels sprout mayonnaise hamburger bun cranberry cranberry cinnamon
324,Spiced lamb flatbreads,"['1.4 kg lamb shoulder , bone in', '1 teaspoon cumin seeds', '2 teaspoons coriander seeds', '1 teaspoon fennel seeds', '1 pinch of saffron', 'white pepper', '½ a bunch of fresh thyme , (15g)', '1 sprig of fresh rosemary', '1 orange', '100 g unsalted butter , (at room temperature)', '1.5 kg large ripe tomatoes , on the vine', '1 bulb of garlic', 'olive oil', '200 g plain wholemeal flour , plus extra for dusting', '2 cos lettuce', '1 pomegranate', '2 tablespoons rose harissa', '½ a bunch of fresh mint , (15g)', '150 ml Greek yoghurt', '1 tablespoon red wine vinegar', 'CABBAGE PICKLE', '½ a medium red cabbage', '½ a bunch of fresh flat-leaf parsley , (15g)', '2 tablespoons red wine vinegar', '1 pinch of ground cloves']",8,Not too tricky,416.0,22.9,26.7,28.2,7 hours 20 minutes,https://www.jamieoliver.com/recipes/lamb-recipes/spiced-lamb-flatbreads/,lamb shoulder bone cumin seed coriander seed fennel seed saffron white pepper a bunch fresh thyme sprig fresh rosemary orange unsalted butter room large ripe tomato on the vine garlic olive oil plain wholemeal flour plus extra for dusting co lettuce pomegranate rose harissa a bunch fresh mint greek yoghurt red wine vinegar cabbage pickle a red cabbage a bunch fresh flat leaf parsley red wine vinegar ground clove,lamb cumin coriander fennel thyme rosemary butter room tomato vine garlic co lettuce rose harissa mint greek yoghurt wine cabbage pickle cabbage wine
325,Goldie Hawn's fettuccine Alfredo,"['½ x Royal pasta dough', 'fine semolina , for dusting', '150 ml double cream', '150 ml single cream', '1 large free-range egg', '60 g Parmesan cheese , plus extra to serve', '1 fresh truffle or 1 whole nutmeg , for grating', 'truffle oil']",4,Not too tricky,612.0,38.5,22.8,44.7,45 minutes plus resting,https://www.jamieoliver.com/recipes/pasta-recipes/goldie-hawn-s-fettuccine-alfredo/,royal pasta dough fine semolina for dusting double cream single cream large free range egg parmesan cheese plus extra to serve fresh truffle or nutmeg for grating truffle oil,royal pasta dough semolina double single egg parmesan cheese truffle nutmeg truffle
326,Essex gumbo,"['200 g quality chorizo', '1 onion', '3 sticks of celery', '3 mixed-colour peppers', '4 cloves of garlic', '2 fresh mixed-colour chillies', '2 medium sweet potatoes', '4 sprigs of fresh rosemary', '4 sprigs of fresh thyme', '4 fresh bay leaves', '1 teaspoon cayenne pepper', '1 heaped tablespoon plain flour', '1 x 400 g tin of quality plum tomatoes', '300 g okra', '300 g white crabmeat , from sustainable sources', '4 sprigs of fresh curly parsley', 'STOCK', '1 x 1.6 kg whole free-range chicken , jointed, skin on, carcass reserved (ask your butcher)', 'olive oil', '12 large raw shell-on tiger prawns , from sustainable sources', '1 teaspoon cayenne pepper', '1.5 litres quality organic chicken stock', 'PICKLED CHILLIES', '6 fresh Scotch bonnet chillies', '2 fresh bay leaves', 'extra virgin olive oil', 'white or red wine vinegar']",10,Not too tricky,322.0,12.2,36.2,20.5,2 hours 10 minutes,https://www.jamieoliver.com/recipes/seafood-recipes/essex-gumbo/,quality chorizo onion stick celery mixed colour pepper clove garlic fresh mixed colour chilli sweet potato sprig fresh rosemary sprig fresh thyme fresh bay leaf cayenne pepper plain flour tin quality plum tomato okra white crabmeat from sustainable source sprig fresh curly parsley stock free range chicken skin carcass reserved your olive oil large raw shell on tiger prawn from sustainable source cayenne pepper quality organic chicken stock pickled chilli fresh scotch bonnet chilli fresh bay leaf extra virgin olive oil white or red wine vinegar,chorizo onion celery garlic potato rosemary thyme cayenne tomato okra crabmeat curly chicken carcass reserved shell tiger prawn cayenne chicken pickled scotch bonnet wine
327,Quick flatbreads with avocado & feta,"['1 teaspoon cumin seeds', '250 g wholemeal self-raising flour , plus extra for dusting', '¾ teaspoon baking powder', '350 g plain yoghurt', 'olive oil', '2 ripe avocados', '75 g feta cheese', '1 teaspoon rose harissa']",4,Not too tricky,213.0,10.3,8.0,23.6,25 minutes,https://www.jamieoliver.com/recipes/bread-recipes/quick-flatbreads-with-avocado-feta/,cumin seed wholemeal self raising flour plus extra for dusting baking powder plain yoghurt olive oil ripe avocado feta cheese rose harissa,cumin self raising baking yoghurt avocado feta cheese rose harissa
328,Salsa spaghetti,"['320 g dried spaghetti', '600 g mixed ripe tomatoes', '12 black olives (stone in)', '1 bunch of fresh basil', '1 clove of garlic', 'extra virgin olive oil', '2 tablespoons red wine vinegar', '20 g hard Italian cheese']",4,Not too tricky,414.0,13.2,12.9,64.6,15 minutes,https://www.jamieoliver.com/recipes/pasta-recipes/salsa-spaghetti/,dried spaghetti mixed ripe tomato black olive bunch fresh basil clove garlic extra virgin olive oil red wine vinegar hard italian cheese,tomato basil garlic wine hard italian cheese
329,Pomegranate-glazed mackerel with satsuma & fennel salad,"['40 ml pomegranate molasses', '40 ml runny honey', '2 satsumans , or 1 orange', '4 mackerel fillets , from sustainable sources', 'SALAD', '2 medium beetroots', '1 small red onion', '1 small fennel', '4 satsumas', '1 bunch of fresh dill', 'VINAIGRETTE', '4 tablespoons extra virgin olive oil', '1 lemon', '1 tablespoon pomegranate molasses', '1 teaspoon runny honey']",4,Not too tricky,467.0,29.5,21.6,29.9,1 hour 10 minutes,https://www.jamieoliver.com/recipes/fish-recipes/pomegranate-glazed-mackerel-with-satsuma-fennel-salad/,pomegranate molasses runny honey satsumans or orange mackerel fillet from sustainable source salad beetroot small red onion small fennel satsuma bunch fresh dill vinaigrette extra virgin olive oil lemon pomegranate molasses runny honey,molasses honey satsumans mackerel beetroot onion fennel satsuma dill vinaigrette lemon molasses honey
330,Asian-style seafood parcels,"['1 bream fillet , skin on, scaled, pin-boned, from sustainable sources', '2 scallops , trimmed, roes attached, from sustainable sources', '2 large raw shell-on king prawns , from sustainable sources', '75 g mussels , scrubbed, debearded, from sustainable sources', '75 g clams , scrubbed, from sustainable sources', '½ a stick of lemongrass', '1 clove of garlic', '2.5 cm piece of ginger', '2 fresh lime leaves', '1 fresh red chilli', '4 sprigs of fresh coriander', '1 teaspoon fish sauce', '½ tablespoon low-salt soy sauce', '2 limes', '1 bok choi', '1 handful of sugar snap peas', '50 g purple sprouting broccoli', '50 g choi sum', '1 large free-range egg', '150 g basmati rice', '½ tablespoon coconut cream']",2,Not too tricky,451.0,7.4,32.3,68.2,45 minutes,https://www.jamieoliver.com/recipes/seafood-recipes/asian-style-seafood-parcels/,bream fillet skin pin from sustainable source scallop roe from sustainable source large raw shell on king prawn from sustainable source mussel from sustainable source clam from sustainable source a stick lemongrass clove garlic piece ginger fresh lime leaf fresh red chilli sprig fresh coriander fish sauce low salt soy sauce lime bok choi handful sugar snap pea purple sprouting broccoli choi sum large free range egg basmati rice coconut cream,bream scallop roe shell king prawn mussel clam lemongrass garlic ginger lime coriander lime bok choi snap pea purple sprouting broccoli choi sum egg rice coconut
331,Orlando Bloom's lamb shank tagine,"['4 lamb shanks , French trimmed', 'olive oil', '1 fresh red chilli', '1 clove of garlic', '1 red onion', '1 quince', '2 carrots', '1 bulb of fennel', '2 fresh bay leaves', '1 pinch of saffron', '2 ripe tomatoes , on the vine', '1 preserved lemon', '1 litre quality organic chicken stock', '200 g couscous', '1 bunch of fresh mint , (30g)', '1 handful of black olives , (stone in)', '½ a bunch of fresh flat-leaf parsley , (15g)', '½ a lemon', '½ an orange', 'extra virgin olive oil', '50 g rose harissa', '4 heaped tablespoons fat-free natural yoghurt', 'RAS EL-HANOUT', '2 cardamon pods', '½ teaspoon ground cinnamon', '1 teaspoon cayenne pepper', '1 heaped teaspoon coriander seeds', '½ teaspoon sweet smoked paprika', '1 tiny pinch of cumin seeds', '½ teaspoon ground turmeric', '½ teaspoon ground ginger']",4,Not too tricky,881.0,43.9,83.8,40.6,3 hours 20 minutes,https://www.jamieoliver.com/recipes/lamb-recipes/orlando-bloom-s-lamb-shank-tagine/,lamb shank french trimmed olive oil fresh red chilli clove garlic red onion quince carrot fennel fresh bay leaf saffron ripe tomato on the vine preserved lemon quality organic chicken stock couscous bunch fresh mint handful black olive a bunch fresh flat leaf parsley a lemon an orange extra virgin olive oil rose harissa fat free natural yoghurt ra el hanout cardamon pod ground cinnamon cayenne pepper coriander seed sweet smoked paprika tiny cumin seed ground turmeric ground ginger,lamb shank french garlic onion quince carrot fennel tomato vine preserved lemon chicken mint lemon an rose harissa yoghurt ra el hanout cardamon pod cinnamon cayenne coriander paprika tiny cumin turmeric ginger
332,Duck egg frittata with peas & beans,"['300 g Jersey royal potatoes', '150 g small broad beans', '6 spring onions', '1 green chilli', '1 tablespoon olive oil', '1 bunch of dill', '6 duck eggs', '150 g frozen peas , defrosted', '1 punnet of cress', ""70 g fresh goat's cheese""]",4–6,Not too tricky,250.0,14.0,16.6,12.7,25 minutes,https://www.jamieoliver.com/recipes/eggs-recipes/duck-egg-frittata-with-peas-beans/,jersey royal potato small broad bean spring onion green chilli olive oil bunch dill duck egg frozen pea defrosted punnet cress fresh cheese,jersey royal potato broad onion dill duck egg pea defrosted cress cheese
333,Courgette ‘spaghetti’ with rocket pesto,"['4 courgettes', '70-100 ml olive oil , plus an extra splash', '100 g almonds', '1 clove of garlic', 'a few sprigs of fresh basil', '50 g Parmesan cheese', '½ a lemon', '300 g rocket']",4,Super easy,413.0,36.3,16.3,5.7,25 minutes,https://www.jamieoliver.com/recipes/vegetables-recipes/courgette-spaghetti-with-rocket-pesto/,courgette olive oil plus an extra splash almond clove garlic a few sprig fresh basil parmesan cheese a lemon rocket,courgette an garlic basil parmesan cheese lemon rocket
